"title","stars","text","publishedAtDate","name","reviewerNumberOfReviews","isLocalGuide","reviewUrl","reviewerUrl","responseFromOwnerText","responseFromOwnerDate","originalLanguage","likesCount","visitedIn"
"Lardo & Rosemary","5","Todo muy increible. Tremenda atencion y seleccion de vinos","2026-03-31T19:00:01.417Z","Tomas Pasqualini","42","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25KVE9ESnhiMFIxTkhKWU1FWTNiR000Y1dKUlFXYxAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOnJTODJxb0R1NHJYMEY3bGM4cWJRQWc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/107139892818416698770?hl=es-419",,,"es","0",
"Lardo & Rosemary","4","Muy buena opción para ir en pareja. Descontracturado, con un twist de gourmet. Hay intención y cuidado detrás. La propuesta es muy divertida de diferentes pequeños platos para ir probando y encima van cambiando a lo largo del tiempo. Muy bueno. Postres flojo, pero a mi no me importan. Y lo que si, lleno de etiquetas de vinos coloridas y cool, pero malos. Es algo que deberían cambiar. Asesorense con un buen sommelier. Salud.","2026-03-31T11:50:48.482Z","Naviera Parana","90","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xNM1JWTnFZMlZmTTBkR1gxSXdRbXhhVFY5SlNFRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOlM3RVNqY2VfM0dGX1IwQmxaTV9JSEE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/115974600463427865412?hl=es-419",,,"es","0",
"Lardo & Rosemary","5","Todo rico. Precios acordes.","2026-03-27T16:31:16.049Z","Rocio Vera","42","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xsclZWUkdZMmR5TW5CRmRXeHFXbGh4Vkhwa1pGRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOllrVVRGY2dyMnBFdWxqWlhxVHpkZFE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/109384784774429474619?hl=es-419",,,"es","0",
"Lardo & Rosemary","5","Pedimos el sándwich de carne, las papas y un postre de chocolate, y la verdad es que todo estuvo muy rico. Las papas me parecieron excelentes, crocantes y bien logradas, sin duda las volvería a pedir. El postre también estaba muy bueno y fue un gran cierre para la comida. El ambiente es lindo y agradable, ideal tanto para ir en pareja como con amigos. Recomiendo reservar con anticipación, ya que suele llenarse y se forma fila afuera.","2026-03-24T20:16:40.453Z","Sofía Belén Aragonés","35","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25oaFpVNHpRbFpEV1ZOVVIyNUhVek4xZGxOTmJXYxAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOnhhZU4zQlZDWVNUR25HUzN1dlNNbWc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/107027762540027498430?hl=es-419",,,"es","0",
"Lardo & Rosemary","5","Riquísimo y la atención 10 puntos!","2026-03-21T15:08:32.800Z","Sofía Castro Viera","34","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25GMGVFMWZjM2RrU21SVVIxSkdiM1l4VlZSWmJrRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOnF0eE1fc3dkSmRUR1JGb3YxVVRZbkE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/103424220960407024746?hl=es-419",,,"es","0",
"Lardo & Rosemary","5","Fuimos a cenar con mi marido, muyyy lindo el ambiente.
Recomiendo reservar, nosotros fuimos sin reserva y tuvimos que sentarnos afuera… un poco fresco pero todo super bien.
La comida muy rica! Las papas fritas con de las mejores y los sabores de los platos riquísimos.
Son porciones chicas, a tener en cuenta 😎
El postre, una mouse de choco exquisita!","2026-03-19T02:58:06.975Z","Cruz Pelletieri","23","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tsSlVtMURhREJ3VWtWYVJXZ3djMFpIUkhkWVlYYxAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOklJUm1DaDBwUkVaRWgwc0ZHRHdYYXc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/111023744424752608038?hl=es-419",,,"es","0",
"Lardo & Rosemary","5",,"2026-03-13T04:37:17.481Z","JAVIER MACHUKI","5","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xwUVpWcHRUa1I2T0VWNk1pMVNUV1ZDU1hKeGRuYxAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOlpQZVptTkR6OEV6Mi1STWVCSXJxdnc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/111984469405225066716?hl=es-419",,,,"0",
"Lardo & Rosemary","5","Excelente Lugar!!!! Comida tipo Tapeo con varias opciones, que son un manjar!!! Eramos 4 pedimos para compartir entre Fritas con 3 salsas, Tiradito ( tipo Ceviche muy gustoso), Arepas y Tacos de Pescado.. con aguas y 2 Vinos…
Muy buena atención 🤗, gracias","2026-03-01T16:53:12.265Z","Denise Dillon","120","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25CUVpFMDBORGczUjFwcmJFcFhZa0p2YmxReFFsRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOnBQZE00NDg3R1prbEpXYkJvblQxQlE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/108209275614110927444?hl=es-419",,,"es","0",
"Lardo & Rosemary","5",,"2026-03-01T04:54:51.551Z","Lourdes calo","4","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xkUFNsWlVOMGxxWTJjdFpYTTNUbGRNVkV3MFZHYxAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOldPSlZUN0lqY2ctZXM3TldMVEw0VGc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/109564585737909427077?hl=es-419",,,,"0",
"Lardo & Rosemary","1","No tienen opciones para celiacos. Que alguien les avise que es el 2026 así se agiornan.","2026-02-18T02:45:43.491Z","cycestudio","30","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pjdGFYSTBhSEo2TjNaYWMxaHBTbWhmZWxGclRuYxAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOjctaXI0aHJ6N3Zac1hpSmhfelFrTnc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/109808966765169795327?hl=es-419",,,"es","0",
