Marca temporal,¿Cómo calificarías en general al BootCamp?,¿Qué tan conforme estuviste con la organización del evento? ,¿Qué opinás acerca del trabajo realizado por nuestro equipo organizador?,¿Qué te pareció el proceso de acreditación? ,¿Qué te pareció el formulario de inscripción al BootCamp?,¿Estuviste conforme con la categoría a la que fuiste asignado?,"Si tu respuesta en la pregunta anterior fue no, ¿en cuál te hubiese gustado estar?",¿Qué tan útil creés que fue el hilo conductor de las charlas durante el BootCamp?,¿Qué tan conforme estuviste con las charlas de los oradores?,¿Cuál fue tu orador favorito? ¿Por qué?,¿Qué tan conforme estuviste con los mentores?,"Si quieres, dejanos un comentario sobre los mentores:",¿Qué tan conforme estuviste con el after con empresas?,¿Qué tan conforme estuviste con la comida?,¿Recomendarías el BootCamp a tus amigos o familia?,¿Qué recomendación nos harías para tener en cuenta en la próxima edición?,¿Te hospedaste en el Hostel Lounge BA?,¿Te fue sencillo el traslado del aeropuerto/terminal hasta el hostel? ¿Por qué?,¿Qué te pareció el traslado de Lounge BA a las ubicaciones del BootCamp? ,"Cuando llegaste a la habitación, ¿estaba todo en buenas condiciones? ¿Necesitaste ayuda en algo por parte del hotel? Contanos",¿Estás conforme con la elección de la habitación? ¿Sufriste alguna incomodidad? ,¿Algo que quieras decirnos? Te leemos,¿Conoces a la empresa Belo?,¿Qué es lo que más te gusta de la App?,¿Qué te gustaría que sumemos a la App?,Te dejamos este espacio para hacer algún comentario extra
28/05/2025 19:01:27,10,9,"Realmente increible, estaban en todo",10,8,Si,Entretenimiento y Consumo,7,10,Gaston paricier,9,por ahi mejor un poco menos de rotacion de mentores,10,9,10,mejor organizacion con la division de categorias,No,,,,,,"Sí, ya conocía la empresa desde antes",,,
28/05/2025 20:31:39,10,10,Es impresionante ver un grupo de alumnos como ustedes que organicen algo tan loco como esto,10,10,Si,,10,10,Gastón Parisier. Abrir el bootcamp con él me dejo ya con las expectativas en las nubes  ,10,mati un capo,10,5,10,"capaz más días, un toque menos intenso ",Sí,si ,Regular,todo en orden,no ,vuelvan al selina ;),"Sí, ya conocía la empresa desde antes",,,"Me fui muy impresionada con toda la movida del bootcamp, increíble que haya organizado todo eso. "
28/05/2025 21:31:25,9,9,Excelente trabajo y presdisposicion de todos los colaboradores ,9,9,Si,,10,10,Canilla ,10,,10,6,10,Muchas felicidades para el equipo organizador! Un gusto participar ,Sí,Si,Bueno,-,Todo bien,-,Conoci la empresa en el evento,,,
29/05/2025 13:45:04,10,10,Impecable. Siempre dispuestos a ayudar y resolver cualquier inconveniente,10,10,Si,,8,8,Gaston Parisier,10,,10,10,10,Sigan así!,No,,,,,,"Sí, ya conocía la empresa desde antes",,,
29/05/2025 17:04:04,9,10,"De 10, todos unos genios, muy buena onda y muy bien predispuestos.",10,7,Si,,10,9,Julian Bender. Muchas cosas de las que compartio me parecieorn muy inspiradoras y dió grandes consejos.,8,,8,8,10,Capaz alguna instancia para concerse entre grupos con algun tipo de propuesta.,No,,,,,,Conoci la empresa en el evento,,,
29/05/2025 17:08:07,10,10,"Me encantó, la verdad que siempre bien predispuestos para responder dudas que teníamos ",10,10,Si,,10,9,"Pablo krulz, me interesó mucho su proyecto Motivos y creo que tiene gran futuro",10,"Ulises Samelnik Branda la verdad que fue muy tutor, siempre aportando desde su conocimiento y amabilidad, un crack",10,10,10,"La verdad sigan así porque tienen mucho futuro, fue una experiencia increíble que nunca en mí vida me la voy a olvidar, muchas gracias! ",Sí,"Si, fui en Uber a la ida y a la vueltasñ",Muy bueno,"Si, estaba todo en buenas condiciones ","Si, estoy conforme. No, no sufrí ninguna incomodidad ","Me encantaría formar parte del equipo de Trama, si en algún momento existe la posibilidad. Me encantó como se manejaron y la calidad y los chistes que hacían..","Sí, ya conocía la empresa desde antes",Que se puede usar como una billetera virtual en Brasil,La verdad que así como está me gusta la app,"Son increíbles, de verdad aprecio mucho que hagan estas cosas para estudiantes del Interior que muchas veces no tenemos la oportunidad de asistir a este tipo de eventos. También, me encantaría formar parte del equipo de Trama si existe la posibilidad "
29/05/2025 17:56:33,8,10,Buena disposicion,10,9,Si,,7,6,"Pergolini, forma de interactuar con el publico",7,,7,3,10,Mas variedad de comida,No,,,,,,Conoci la empresa en el evento,,,
30/05/2025 12:00:22,10,10,Excelente ,10,10,Si,,10,10,Mario pergolini ,10,Muy buena mentora Lu en agro,10,10,10,Todo impecable,No,,,,,,No la conozco,,,
30/05/2025 12:01:26,10,10,"Me gusto mucho como lo organizaron, la predispocicion hacia los participantes y el manejo de las charlas y las entrevistas. Remarco mucho la ayuda que brindaban los mentores, que en el caso de nuestro equipo, recibimos mucho apoyo. Tambien agradecer a los chicos que se encargaron de contactarse con los oradores y emprendedores que la verdad fueron super enriquecedoras y aparte inspiradoras.",9,8,Si,Logística e Infraestructura,10,10,"Me gustaron mucho las charlas de Lautaro, de Canillita, y la de el founder de TurismoCity. Las charlas acerca del pitch tambien fueron excelentes.",10,"Los mencione antes pero era remarcarles que hicieron un laburo de 10, por lo menos con nuestro equipo. Cada uno aportaba desde su conocimiento que era muy profesional y nos ayudo a llegar a la final realmente. Me acuerdo un momneto que se nos unieron como 8 mentores para darnos una mano con Culturin jajassj.",8,9,10,"Por ahi un cronograma para los participantes. Teniendo eso a mano creo que mejoraria en manejo del tiempo para el proyecto, y tambien que s emencones las charlas y los nobres de los oradores. De la mano de esto, entiendo que es un lio pero que las charlas de caulquiera que fuese la categoria, sea accesible para todos. Como que no estar ligados a tu categroria para atender a las charlas.",No,,,,,,Conoci la empresa en el evento,el problema que solucionan,,"Lo unico era agradecer a los chicos que organizaron esto. En ocaciones anteriores me toco organizar eventos similares pero con menos cantidad de gente y se y entiendo el tiempo, energia y trabajo que conlleva llevarlo a cabo y hacerlo tan bien como salio el Bootcamp. Realmente creo que te parte de todos los participantes les debemos las gracias y deberian estar orgullosos del eventazo que sacaron. "
30/05/2025 12:01:53,10,9,"Impecable, muy buena onda todos los organizadores. Siempre con la mejor para ayudar, repartir comida, guiar, etc. Unos genios. Dante un tipazo, quiero un FR así.",9,8,Si,,10,10,"Me gustó muchísimo la de Mathi porque fue más concreta sobre métricas y los distintos modelos de negocio, cosa que yo no tenía muy claro. Siento que fue la que más aprendí, a pesar de que otras fueron más inspiradoras. ",8,"Estuvo bueno porque cada uno te aportaba una visión diferente, cosa que es muy útil. Pero al mismo tiempo a veces te llevaban por un camino y el próximo te descartaba esa idea, entonces costaba un poco seguir un hilo.",9,10,10,"La verdad que un laburazo gente. Me encantó la experiencia y les súper agradezco. Capaz agregaría un poco más de claridad en el proceso del trabajo de, por ejemplo, búsqueda del problema. Hubo momento que nos sentimos un poco perdido y no sabíamos bien cuánto tiempo nos quedaba. Pero la verdad que la experiencia fue espectacular. ",No,,,,,,"Sí, ya conocía la empresa desde antes",No la uso,No la uso,"Ya lo puse antes, pero les recontra agradezco la oportunidad gente!! Muy buena la experiencia y un lujo poder haber disfrutado de este fin de semana. Se notó el laburo de muchos meses y la preparación, así que también felicitaciones. "
